provincia_id,provincia_nombre,distrito_id,distrito_nombre,corregimiento_id,corregimiento_nombre,cabecera,circuito_id,centro_votacion_id,centro_votacion_nombre
1,Bocas Del Toro,0,Bocas Del Toro,1,Bocas Del T.,1,1,3,Col. Rogelio J. Ibarra
1,Bocas Del Toro,0,Bocas Del Toro,1,Bocas Del T.,1,1,1120,Esc. Colonia Santeña
1,Bocas Del Toro,0,Bocas Del Toro,1,Bocas Del T.,1,1,1845,Esc. Carenero
1,Bocas Del Toro,0,Bocas Del Toro,1,Bocas Del T.,1,1,5005442,Esc. Bilingüe Rep. De Nicaragua
1,Bocas Del Toro,0,Bocas Del Toro,5,Punta Laurel,0,1,332,Ce. Cayo De Agua
1,Bocas Del Toro,0,Bocas Del Toro,5,Punta Laurel,0,1,1406,C.e.b.g.  Isla Popa N°1
1,Bocas Del Toro,0,Bocas Del Toro,5,Punta Laurel,0,1,2083,Ce.  Isla Tigre
1,Bocas Del Toro,0,Bocas Del Toro,9,Tierra Oscura,0,1,1623,Esc. Buena Esperanza
1,Bocas Del Toro,0,Bocas Del Toro,9,Tierra Oscura,0,1,2257,Esc. Tierra Oscura
1,Bocas Del Toro,0,Bocas Del Toro,9,Tierra Oscura,0,1,3011,Ce. Secretario
1,Bocas Del Toro,0,Bocas Del Toro,9,Tierra Oscura,0,1,3245,Esc. Loma Partida
1,Bocas Del Toro,0,Bocas Del Toro,10,Boca De Drago,0,1,5005018,Esc. Boca De Drago
1,Bocas Del Toro,0,Bocas Del Toro,10,Boca De Drago,0,1,5005455,Caseta Saigón
1,Bocas Del Toro,0,Bocas Del Toro,11,San Cristobal,0,1,5005019,Ce. San Cristobal
1,Bocas Del Toro,0,Bocas Del Toro,11,San Cristobal,0,1,5005020,Esc. Valle Escondido
1,Bocas Del Toro,0,Bocas Del Toro,11,San Cristobal,0,1,5005021,Esc. Bocatorito
1,Bocas Del Toro,0,Bocas Del Toro,12,Isla Bastimento,0,1,5005022,Esc. Bastimentos
1,Bocas Del Toro,0,Bocas Del Toro,12,Isla Bastimento,0,1,5005023,Ce. Salcreeck
1,Bocas Del Toro,0,Bocas Del Toro,12,Isla Bastimento,0,1,5005024,Esc. Solarte
1,Bocas Del Toro,0,Bocas Del Toro,12,Isla Bastimento,0,1,5005025,Esc. Bahía Honda
1,Bocas Del Toro,1,Changuinola,1,Changuinola,1,1,1135,Esc. Bilingüe  Changuinola
1,Bocas Del Toro,1,Changuinola,1,Changuinola,1,1,5004909,Hospital Raúl Dávila Mena
1,Bocas Del Toro,1,Changuinola,1,Changuinola,1,1,5005254,Col. Bilingüe Suiche 4
1,Bocas Del Toro,1,Changuinola,3,Guabito,0,1,183,C.e.b.g. Bilingüe  Guabito
1,Bocas Del Toro,1,Changuinola,3,Guabito,0,1,911,Esc. Bilingüe  Finca 41
1,Bocas Del Toro,1,Changuinola,3,Guabito,0,1,1002,Esc. San San Medio (Rómulo)
1,Bocas Del Toro,1,Changuinola,3,Guabito,0,1,5004944,Cárcel Pública De Deborah
1,Bocas Del Toro,1,Changuinola,3,Guabito,0,1,5005258,Col. Secundario De Guabito
1,Bocas Del Toro,1,Changuinola,6,El Empalme,0,1,418,C.e.b.g. Bilingüe  El Empalme
1,Bocas Del Toro,1,Changuinola,6,El Empalme,0,1,971,Esc. Finca 15
